Id,Input_1,Input_2,Input_3,Input_4,Sentence,Answer,No_ordering
R03j1I,R03j1I_bbf.jpg,R03j1I_cjf.jpg,R03j1I_hdu.jpg,R03j1I_nmg.jpg,"The woman brushes the horse's side and mane, while another person grooms its side, then dips their hand into a bucket near its legs.","[2, 4, 3, 1]",False
ksn3Ku,ksn3Ku_eoy.jpg,ksn3Ku_fxz.jpg,ksn3Ku_jzp.jpg,ksn3Ku_std.jpg," The ingredients are mixed into a bowl one at a time, adding eggs, sugar, and butter.","[4, 2, 3, 1]",False
N5Salg,N5Salg_clz.jpg,N5Salg_njb.jpg,N5Salg_njr.jpg,N5Salg_ukd.jpg,"A person swims underwater and then floats on the surface as the camera tilts upward, followed by a diver moving from the pool to flipping mid-air above the diving board.","[1, 4, 2, 3]",False
JdtmIF,JdtmIF_bss.jpg,JdtmIF_gzt.jpg,JdtmIF_hud.jpg,JdtmIF_zmo.jpg,"The camera rises from underwater rocks to a boat's bow, then shifts from the ocean view to focus on a navigation screen.","[1, 2, 3, 4]",True
0hP9mF,0hP9mF_akq.jpg,0hP9mF_gms.jpg,0hP9mF_mto.jpg,0hP9mF_usl.jpg,"The glass filled with ice sits on a festive plate, then the camera zooms in on the raspberry lemonade bottle as the drink begins to take shape.","[3, 2, 1, 4]",False
iW1DQn,iW1DQn_atv.jpg,iW1DQn_llg.jpg,iW1DQn_uyo.jpg,iW1DQn_wvx.jpg,"The performer lowers his arms while hula hooping in a consistent field setting; then, a person jumps from a tall structure, descending towards a soft surface as the camera tilts downward.","[1, 2, 3, 4]",True
ZS47ES,ZS47ES_atu.jpg,ZS47ES_jwk.jpg,ZS47ES_kfy.jpg,ZS47ES_xsf.jpg,"After, the man picks up a yellow object and starts to tighten the spokes on the wheel and sealing the lifting the rubber up.","[4, 1, 3, 2]",False
YxhxTG,YxhxTG_biq.jpg,YxhxTG_jnw.jpg,YxhxTG_nwd.jpg,YxhxTG_vkq.jpg, The camera pans around the kitchen while the woman continues to rub her hands in the lotion.,"[4, 1, 3, 2]",False
NejmQL,NejmQL_fys.jpg,NejmQL_mtu.jpg,NejmQL_sup.jpg,NejmQL_wpf.jpg,"The gymnast approaches the beam as the camera zooms out slightly, then the athlete arches over the bar and exits as the scene fades to black.","[2, 4, 3, 1]",False
wCVFjL,wCVFjL_aze.jpg,wCVFjL_erq.jpg,wCVFjL_fpl.jpg,wCVFjL_reo.jpg,"A sailboat navigates through waves before transitioning to a serene lakeside view framed by trees, then sunlight filters through the branches, shifting to a rider skating down a road from the left.","[4, 3, 2, 1]",False
