Id,Answer,margin
00JsLH,"[1, 3, 4, 2]",3.8125
0AezL1,"[2, 3, 1, 4]",4.875
0EWLYZ,"[2, 4, 3, 1]",1.625
0LD87d,"[3, 4, 1, 2]",5.75
0LR8dO,"[1, 2, 3, 4]",6.8125
0NQuGQ,"[1, 2, 3, 4]",1.40625
0Xx9Fy,"[1, 4, 2, 3]",11.5
0a9FIt,"[1, 2, 3, 4]",4.1875
0bL0uv,"[1, 2, 4, 3]",1.0625
0g2TgT,"[3, 2, 4, 1]",10.1875
0jl7nO,"[3, 1, 4, 2]",7.375
0mXRr8,"[3, 4, 2, 1]",9.5
0txu1H,"[1, 4, 2, 3]",5.0625
0vD2mc,"[1, 4, 3, 2]",2.875
0xGuYd,"[3, 2, 4, 1]",1.75
10aJKj,"[2, 3, 1, 4]",1.375
13IHy1,"[3, 1, 4, 2]",17.53125
149lUx,"[4, 1, 2, 3]",17.65625
151Vxf,"[2, 1, 4, 3]",1.125
15ntwe,"[3, 1, 2, 4]",2.125
1CPRWc,"[4, 3, 2, 1]",5.6875
1DpcN5,"[2, 3, 1, 4]",4.25
1Rm6xE,"[3, 4, 2, 1]",0.125
1Vk7eD,"[1, 3, 2, 4]",1.375
1cCNJf,"[1, 2, 3, 4]",1.5
1inXh8,"[1, 3, 4, 2]",0.1875
1jpyBZ,"[3, 2, 1, 4]",3.5
1pCMCL,"[1, 4, 3, 2]",1.25
1pDHcT,"[2, 3, 4, 1]",5.0
1ywjl3,"[3, 2, 4, 1]",9.3125
22ez77,"[1, 2, 3, 4]",18.34375
23YSXP,"[4, 1, 2, 3]",9.9375
23d8fA,"[3, 2, 4, 1]",5.5625
23mLli,"[1, 3, 4, 2]",9.1875
29f8H7,"[1, 3, 4, 2]",17.0625
2Dhhti,"[3, 1, 2, 4]",2.5
2G6Bmh,"[2, 4, 1, 3]",3.125000476837158
2IL2RO,"[3, 1, 4, 2]",13.15625
2PrMrz,"[1, 2, 4, 3]",10.375
2U6s7V,"[3, 2, 1, 4]",6.65625
2ZfP0k,"[1, 2, 4, 3]",0.0
2dAsEN,"[3, 4, 1, 2]",4.625
2eRouT,"[2, 4, 3, 1]",7.125
2slNZB,"[1, 3, 2, 4]",4.125
2sqUTP,"[1, 2, 4, 3]",6.90625
2vsfof,"[2, 4, 3, 1]",1.625
2zWKa6,"[2, 4, 3, 1]",9.1875
31aTHd,"[1, 2, 3, 4]",5.5
3A7IVR,"[1, 4, 3, 2]",9.875
3G4J9K,"[2, 4, 1, 3]",2.5
3JujAw,"[2, 4, 1, 3]",4.3125
3avnfp,"[3, 4, 1, 2]",8.71875
3fnRMI,"[4, 3, 1, 2]",6.6875
3giy4g,"[2, 1, 3, 4]",5.125
3nNvh9,"[1, 2, 3, 4]",6.6875
3pSryY,"[1, 2, 3, 4]",7.0
3qMOng,"[1, 2, 3, 4]",3.625
4A0AxZ,"[3, 2, 4, 1]",3.8125
4DVbFs,"[2, 1, 3, 4]",13.59375
4K5pV1,"[1, 3, 4, 2]",13.09375
4L1L0O,"[4, 1, 2, 3]",0.75
4QSIII,"[2, 4, 1, 3]",3.15625
4QnQwv,"[1, 4, 3, 2]",3.75
4cxe0W,"[3, 1, 4, 2]",0.25
4pEcVH,"[3, 1, 2, 4]",1.5
4sPoSq,"[4, 1, 2, 3]",7.125
4t2iEX,"[4, 1, 2, 3]",8.375
4v1W9B,"[2, 3, 4, 1]",2.0
4x7Mg9,"[1, 3, 4, 2]",4.1875
4x8keY,"[2, 4, 1, 3]",7.6875
4xk66H,"[2, 3, 1, 4]",1.125
4y52QI,"[2, 4, 1, 3]",7.6875
52wjYU,"[1, 2, 3, 4]",4.4375
56gtZd,"[2, 1, 3, 4]",1.1875
58pIub,"[1, 2, 4, 3]",14.5
5BXRWU,"[1, 2, 3, 4]",12.765625
5I9GW7,"[3, 4, 1, 2]",4.875
5IemZK,"[2, 1, 3, 4]",1.875
5LNZOi,"[4, 1, 3, 2]",2.5
5Pu7eF,"[2, 3, 1, 4]",15.875
5RjgQ4,"[3, 1, 2, 4]",5.84375
5cgTgz,"[3, 2, 4, 1]",17.75
5f094h,"[2, 1, 3, 4]",6.1875
5gnTuG,"[1, 2, 3, 4]",0.875
5hHsa0,"[1, 3, 4, 2]",5.125
5yJlPq,"[3, 1, 4, 2]",12.34375
5yNY2t,"[1, 2, 3, 4]",6.9375
5zb7Ro,"[3, 4, 2, 1]",0.375
60Ggwj,"[4, 2, 1, 3]",14.0625
60xSUz,"[4, 3, 2, 1]",9.25
646LKK,"[1, 3, 2, 4]",9.25
65OzKl,"[2, 1, 4, 3]",2.875
68VVFd,"[2, 4, 3, 1]",5.125
69W7IW,"[1, 2, 3, 4]",13.375
6BpwFj,"[2, 3, 1, 4]",6.9375
6ESbXY,"[1, 4, 3, 2]",13.75
6ISCUd,"[4, 2, 1, 3]",5.875
6KzA2L,"[2, 4, 1, 3]",1.875
6Mk6pT,"[2, 1, 4, 3]",10.75
6SwU8l,"[1, 3, 2, 4]",2.875
6T4ZkA,"[2, 3, 4, 1]",3.875
6Tiifw,"[1, 3, 4, 2]",3.625
6WWJtt,"[1, 2, 3, 4]",17.6875
6WXknn,"[1, 2, 3, 4]",3.375
6XzqrF,"[2, 3, 1, 4]",2.3125
6eLBkp,"[1, 2, 3, 4]",8.9375
6fko8F,"[4, 2, 3, 1]",3.75
6sLcQZ,"[1, 2, 3, 4]",3.8125
6vIK5i,"[1, 3, 2, 4]",1.40625
6z5bps,"[3, 1, 2, 4]",9.375
706QNR,"[2, 1, 3, 4]",1.8125
72JETK,"[4, 2, 3, 1]",7.25
72JtZh,"[1, 4, 3, 2]",4.875
74rmTZ,"[4, 2, 1, 3]",13.4375
75Z57K,"[2, 1, 4, 3]",10.25
77isrE,"[1, 2, 3, 4]",4.625
79TdaG,"[2, 1, 4, 3]",3.5
7FtMFJ,"[3, 4, 1, 2]",4.375
7MeCko,"[3, 2, 1, 4]",11.625
7MnPtt,"[2, 1, 3, 4]",3.25
7QxQMw,"[4, 2, 3, 1]",0.5625
7ozDsy,"[1, 2, 3, 4]",3.1875
7qvSXt,"[3, 1, 4, 2]",2.125
7x8CQN,"[1, 2, 3, 4]",6.75
7xPdtO,"[2, 1, 4, 3]",6.625
81vkem,"[4, 3, 2, 1]",10.25
8CEiq5,"[3, 1, 4, 2]",2.625
8ERA5k,"[2, 3, 4, 1]",2.5
8HQUl8,"[1, 4, 2, 3]",2.125
8K3UvY,"[2, 3, 4, 1]",8.375
8L7TfG,"[2, 3, 4, 1]",3.25
8WEGwa,"[4, 2, 1, 3]",1.125
8Xgs8M,"[3, 4, 1, 2]",5.1875
8bEfGU,"[2, 3, 4, 1]",0.625
8fECuw,"[3, 4, 2, 1]",14.1875
8gPxs3,"[4, 3, 2, 1]",7.625
8luakr,"[1, 4, 2, 3]",7.0625
8mSzvL,"[4, 3, 1, 2]",17.0625
8oGcaE,"[4, 2, 1, 3]",18.9375
8s7LN7,"[1, 2, 4, 3]",2.5
8vtk8F,"[2, 1, 3, 4]",6.375
8xl3eH,"[1, 2, 3, 4]",9.4375
9Gq8RD,"[1, 2, 3, 4]",7.5625
9ImWhU,"[4, 3, 2, 1]",10.5625
9UQF4d,"[4, 2, 3, 1]",6.875
9XBCVh,"[4, 1, 2, 3]",8.375
9XMfvj,"[1, 4, 2, 3]",3.8125
9fwwT6,"[4, 2, 3, 1]",1.875
9gq4yp,"[2, 3, 4, 1]",19.8125
9lYoPJ,"[1, 2, 3, 4]",5.25
9omhEk,"[1, 4, 3, 2]",3.375
9sLkGY,"[1, 2, 3, 4]",19.0
9uf8Mn,"[3, 4, 1, 2]",0.375
A2ihgQ,"[1, 2, 3, 4]",2.125
A5gFPq,"[1, 2, 3, 4]",9.5
AFUvD4,"[3, 4, 1, 2]",14.875
AK9RS5,"[1, 2, 4, 3]",10.375
ALfz6z,"[3, 1, 4, 2]",2.375
AN8ldb,"[2, 3, 1, 4]",6.25
ASCWOI,"[2, 3, 4, 1]",3.625
AajU8e,"[1, 2, 3, 4]",10.3125
Ae7zLm,"[2, 3, 4, 1]",22.3125
AfIbLd,"[1, 2, 4, 3]",4.375
Ah72iP,"[1, 3, 2, 4]",12.0
AiyCxG,"[4, 1, 2, 3]",5.375
Alriqb,"[4, 1, 2, 3]",3.3125
ApcgPb,"[4, 2, 3, 1]",7.5
At6xwk,"[4, 3, 2, 1]",0.8125
AvyNTq,"[3, 2, 1, 4]",3.5625
Az79Jo,"[4, 3, 2, 1]",9.75
B39anE,"[3, 4, 1, 2]",7.71875
B4wiu7,"[1, 2, 4, 3]",12.4375
B73gFN,"[3, 2, 1, 4]",14.71875
BBx1v7,"[3, 4, 2, 1]",5.375
BECRdM,"[1, 3, 2, 4]",0.125
BEGQP7,"[1, 2, 3, 4]",9.25
BHuxgS,"[2, 3, 4, 1]",14.5
BI9Eky,"[4, 2, 3, 1]",5.375
BUSPpU,"[3, 1, 2, 4]",0.125
BYj7Lq,"[4, 1, 3, 2]",0.75
BcgNjo,"[1, 3, 4, 2]",5.5625
BfquZq,"[4, 2, 3, 1]",3.0625
