id,gt,top1,top2,base_ok,triggered,override,final_ok
BtjEoZ,"[3, 4, 1, 2]","[3, 4, 1, 2]","[4, 3, 1, 2]",True,True,False,True
8cbtrl,"[4, 2, 1, 3]","[4, 2, 1, 3]","[2, 4, 1, 3]",True,False,False,True
25oh28,"[1, 4, 2, 3]","[1, 4, 2, 3]","[2, 4, 1, 3]",True,False,False,True
uL3eyj,"[2, 1, 3, 4]","[2, 3, 1, 4]","[1, 3, 2, 4]",False,False,False,False
az2TQZ,"[4, 1, 2, 3]","[4, 1, 2, 3]","[3, 1, 2, 4]",True,False,False,True
QtMGIi,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 4, 3, 2]",True,False,False,True
rs0JvW,"[3, 4, 2, 1]","[3, 4, 2, 1]","[1, 4, 2, 3]",True,False,False,True
GFXygS,"[1, 3, 4, 2]","[3, 1, 4, 2]","[3, 2, 4, 1]",False,False,False,False
KDgnsY,"[1, 2, 3, 4]","[1, 4, 2, 3]","[1, 3, 2, 4]",False,False,False,False
Wen1BD,"[3, 2, 1, 4]","[4, 1, 2, 3]","[3, 2, 1, 4]",False,False,False,False
TRWiEi,"[2, 3, 4, 1]","[3, 2, 1, 4]","[3, 4, 1, 2]",False,False,False,False
0z8J3k,"[2, 1, 3, 4]","[2, 1, 3, 4]","[3, 1, 2, 4]",True,False,False,True
yaunnW,"[3, 4, 1, 2]","[1, 2, 4, 3]","[1, 2, 3, 4]",False,True,False,False
6BqNKH,"[3, 2, 1, 4]","[1, 2, 3, 4]","[4, 1, 2, 3]",False,False,False,False
ve0RyE,"[1, 2, 4, 3]","[2, 1, 4, 3]","[1, 2, 4, 3]",False,True,False,False
gnvREp,"[2, 1, 4, 3]","[2, 1, 4, 3]","[2, 1, 3, 4]",True,True,False,True
Pj032Z,"[1, 3, 2, 4]","[1, 3, 2, 4]","[2, 3, 1, 4]",True,False,False,True
BVahOR,"[2, 3, 1, 4]","[2, 3, 1, 4]","[1, 3, 2, 4]",True,False,False,True
uuuSeh,"[1, 4, 3, 2]","[1, 2, 3, 4]","[2, 3, 4, 1]",False,False,False,False
COVnU8,"[1, 3, 2, 4]","[1, 3, 2, 4]","[1, 4, 2, 3]",True,False,False,True
xtuGiU,"[4, 2, 1, 3]","[4, 2, 1, 3]","[3, 2, 1, 4]",True,False,False,True
PX3R7t,"[3, 1, 4, 2]","[2, 3, 4, 1]","[1, 3, 4, 2]",False,False,False,False
YBipu8,"[2, 3, 1, 4]","[1, 3, 2, 4]","[2, 3, 1, 4]",False,False,False,False
RANwbf,"[4, 3, 2, 1]","[4, 3, 2, 1]","[4, 3, 1, 2]",True,True,False,True
qOXzmO,"[2, 1, 3, 4]","[2, 1, 3, 4]","[2, 1, 4, 3]",True,True,False,True
cfmEF9,"[4, 3, 1, 2]","[1, 2, 3, 4]","[2, 1, 3, 4]",False,True,False,False
7oPat2,"[1, 4, 3, 2]","[1, 4, 3, 2]","[2, 4, 1, 3]",True,False,False,True
3n0afI,"[4, 3, 2, 1]","[1, 3, 2, 4]","[1, 4, 2, 3]",False,False,False,False
5ojhGO,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 4, 3, 2]",True,False,False,True
8lHWHe,"[4, 3, 1, 2]","[4, 3, 1, 2]","[3, 4, 1, 2]",True,True,False,True
7K8bSx,"[1, 3, 2, 4]","[2, 1, 3, 4]","[3, 2, 1, 4]",False,False,False,False
RYm9sn,"[3, 4, 1, 2]","[2, 4, 1, 3]","[1, 4, 2, 3]",False,False,False,False
RbZywd,"[2, 1, 3, 4]","[2, 1, 4, 3]","[2, 1, 3, 4]",False,True,False,False
npjZ5g,"[1, 4, 3, 2]","[1, 4, 3, 2]","[2, 4, 3, 1]",True,False,False,True
1LHcEG,"[1, 2, 3, 4]","[2, 1, 3, 4]","[1, 2, 3, 4]",False,True,True,True
MgGRJz,"[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 2, 4, 3]",True,True,True,False
yOwjoJ,"[2, 4, 3, 1]","[2, 4, 3, 1]","[1, 4, 3, 2]",True,False,False,True
GMcvmS,"[2, 1, 3, 4]","[2, 3, 1, 4]","[1, 2, 3, 4]",False,False,False,False
W6j3I8,"[2, 4, 1, 3]","[3, 2, 4, 1]","[3, 1, 4, 2]",False,False,False,False
D48te1,"[2, 1, 3, 4]","[1, 2, 4, 3]","[1, 2, 3, 4]",False,True,True,False
ZJHyJa,"[2, 3, 4, 1]","[4, 2, 3, 1]","[2, 4, 3, 1]",False,False,False,False
CAmcLZ,"[4, 2, 3, 1]","[4, 2, 3, 1]","[4, 1, 3, 2]",True,False,False,True
u8GCCt,"[3, 2, 4, 1]","[2, 3, 4, 1]","[3, 2, 4, 1]",False,True,False,False
2PQoNR,"[1, 2, 4, 3]","[1, 2, 4, 3]","[1, 2, 3, 4]",True,True,True,False
MBZB7O,"[4, 1, 3, 2]","[4, 1, 3, 2]","[3, 1, 4, 2]",True,False,False,True
LC3T38,"[4, 3, 2, 1]","[4, 3, 2, 1]","[3, 4, 2, 1]",True,True,False,True
g2SpU0,"[3, 1, 4, 2]","[1, 2, 4, 3]","[1, 3, 4, 2]",False,False,False,False
1sELp0,"[1, 2, 3, 4]","[1, 3, 4, 2]","[1, 2, 3, 4]",False,False,False,False
MQwOVV,"[3, 2, 4, 1]","[3, 2, 4, 1]","[3, 1, 4, 2]",True,False,False,True
SYVkJW,"[2, 4, 1, 3]","[2, 4, 1, 3]","[2, 3, 1, 4]",True,False,False,True
wVww7x,"[1, 3, 4, 2]","[1, 3, 4, 2]","[3, 1, 4, 2]",True,False,False,True
Dw6YON,"[1, 3, 4, 2]","[1, 3, 4, 2]","[2, 3, 4, 1]",True,False,False,True
bAdHGN,"[1, 4, 3, 2]","[1, 4, 3, 2]","[1, 4, 2, 3]",True,True,True,False
EriNke,"[4, 1, 3, 2]","[3, 1, 4, 2]","[4, 1, 3, 2]",False,False,False,False
kkVIGU,"[1, 4, 3, 2]","[1, 4, 2, 3]","[3, 2, 1, 4]",False,False,False,False
gOX8ks,"[1, 2, 3, 4]","[3, 1, 4, 2]","[4, 2, 3, 1]",False,False,False,False
C8qKHp,"[4, 3, 1, 2]","[2, 4, 1, 3]","[2, 3, 1, 4]",False,False,False,False
2xfWmN,"[3, 2, 4, 1]","[3, 2, 4, 1]","[4, 2, 3, 1]",True,False,False,True
n4xHvL,"[1, 4, 3, 2]","[1, 4, 3, 2]","[1, 4, 2, 3]",True,True,True,False
u0rars,"[2, 1, 4, 3]","[2, 1, 4, 3]","[3, 1, 4, 2]",True,False,False,True
TOjwSf,"[3, 4, 2, 1]","[3, 2, 4, 1]","[3, 4, 2, 1]",False,False,False,False
